unl_1c0aadf5   [testWord->is-a->Unknown] 1.00
unl_1d97128f   [cat->is-a->testWord] 0.90
unl_92b7d594   [dog->is-a->testWord] 0.90
unl_69dc4935   [kitten->is-a->testWord] 0.90
unl_779dcb87   [puppy->is-a->testWord] 0.90
unl_4cb37241   [cat->spelled->cat-seq0] 1.00
unl_dd106f32   [cat-seq0->VLU->C] 1.00
unl_41e4397e   [cat-seq0->FRST->cat-seq0] 1.00
unl_2c52f3e7   [cat-seq0->NXT->cat-seq1] 1.00
unl_4de7638a   [cat-seq1->FRST->cat-seq0] 1.00
unl_49a850d5   [cat-seq1->VLU->A] 1.00
unl_5ea2cc15   [cat-seq1->NXT->cat-seq2] 1.00
unl_994dd0b0   [cat-seq2->FRST->cat-seq0] 1.00
unl_bd0b9b63   [cat-seq2->VLU->T] 1.00

unl_2cd76911   [dog->spelled->dog-seq0] 1.00
unl_62e3fbfe   [kitten->spelled->kitten-seq0] 0.90
unl_91284e33   [puppy->spelled->puppy-seq0] 0.90
unl_dedfff2c   [dog-seq0->VLU->D] 1.00
unl_54327402   [dog-seq0->FRST->dog-seq0] 1.00
unl_204796b1   [dog-seq0->NXT->dog-seq1] 1.00
unl_aa0cc84e   [kitten-seq0->VLU->K] 1.00
unl_a9e5c067   [kitten-seq0->FRST->kitten-seq0] 1.00
unl_d52bf1ba   [kitten-seq0->NXT->kitten-seq1] 1.00
unl_f2bda9ce   [puppy-seq0->VLU->P] 1.00
unl_1f72088e   [puppy-seq0->FRST->puppy-seq0] 1.00
unl_9f79f8f1   [puppy-seq0->NXT->puppy-seq1] 1.00
unl_266de579   [dog-seq1->FRST->dog-seq0] 1.00
unl_f478a9fd   [dog-seq1->VLU->O] 1.00
unl_01069d8b   [dog-seq1->NXT->dog-seq2] 1.00
unl_5624823c   [dog-seq2->FRST->dog-seq0] 1.00
unl_945e5a4c   [dog-seq2->VLU->G] 1.00
unl_d7e4b33f   [kitten-seq1->FRST->kitten-seq0] 1.00
unl_abac68c9   [kitten-seq1->VLU->I] 1.00
unl_60021645   [kitten-seq1->NXT->kitten-seq2] 1.00
unl_0dbca0a5   [kitten-seq2->FRST->kitten-seq0] 1.00
unl_86cf897c   [kitten-seq2->VLU->T] 1.00
unl_b0ac4f83   [kitten-seq2->NXT->kitten-seq3] 1.00
unl_4d6d6e16   [kitten-seq3->FRST->kitten-seq0] 1.00
unl_2ff2d7d9   [kitten-seq3->VLU->T] 1.00
unl_a81b359b   [kitten-seq3->NXT->kitten-seq4] 1.00
unl_e3b7ec52   [kitten-seq4->FRST->kitten-seq0] 1.00
unl_5c33e5b1   [kitten-seq4->VLU->E] 1.00
unl_045981fc   [kitten-seq4->NXT->kitten-seq5] 1.00
unl_ea100e1c   [kitten-seq5->FRST->kitten-seq0] 1.00
unl_49c11c26   [kitten-seq5->VLU->N] 1.00
unl_1e8e604b   [puppy-seq1->FRST->puppy-seq0] 1.00
unl_ec496f1e   [puppy-seq1->VLU->U] 1.00
unl_567535f0   [puppy-seq1->NXT->puppy-seq2] 1.00
unl_f2960d72   [puppy-seq2->FRST->puppy-seq0] 1.00
unl_81a05bb8   [puppy-seq2->VLU->P] 1.00
unl_ae536609   [puppy-seq2->NXT->puppy-seq3] 1.00
unl_911001ff   [puppy-seq3->FRST->puppy-seq0] 1.00
unl_74e1a193   [puppy-seq3->VLU->P] 1.00
unl_7aa80b15   [puppy-seq3->NXT->puppy-seq4] 1.00
unl_b60489e2   [puppy-seq4->FRST->puppy-seq0] 1.00
unl_99ff83ec   [puppy-seq4->VLU->Y] 1.00
