unl_08db5baf   [Task->is-a->Thought] 1.00
unl_168ab8b7   [steps->is-a->Task] 1.00
unl_7655d4d9   [compareLength->is-a->Task] 1.00
unl_6327bebe   [continue->is-a->Task] 1.00
unl_90ca7daa   [equal->is-a->Task] 1.00
unl_15e8eeb8   [p1Longer->is-a->Task] 1.00
unl_47290882   [p2Longer->is-a->Task] 1.00
unl_f0469d4f   [compareLength->steps->compareLength-seq0] 1.00
unl_8ab8d7c4   [continue->steps->continue-seq0] 1.00
unl_c1947653   [equal->steps->equal-seq0] 1.00
unl_d6fb5e83   [p1Longer->steps->p1longer-seq0] 1.00
unl_0549b20c   [p2Longer->steps->p2longer-seq0] 1.00
unl_4a2be19a   [is-a->hasProperty->isTransitive] 1.00
unl_71e40451   [is-a->hasProperty->inheritable] 1.00
unl_2cd7d999   [compareLength-seq0->VLU->unl_9feaa97d] 1.00
unl_9feaa97d   [p1->WRITE.IS->param1] 1.00
unl_16c4b103   [compareLength-seq0->FRST->compareLength-seq0] 1.00
unl_462a7067   [compareLength-seq0->NXT->compareLength-seq1] 1.00
unl_7f4aaf7c   [continue-seq0->VLU->unl_bc32ae44] 1.00
unl_bc32ae44   [p1->WRITE.IS->p1.is.NXT] 1.00
unl_463f41d6   [continue-seq0->FRST->continue-seq0] 1.00
unl_eff7e90e   [continue-seq0->NXT->continue-seq1] 1.00
unl_c2a0713b   [equal-seq0->VLU->unl_37aefac0] 1.00
unl_37aefac0   [p1.is.FRST->write.EQ->p2.is.FRST] 1.00
unl_04ad6b48   [equal-seq0->FRST->equal-seq0] 1.00
unl_66b5c64e   [p1longer-seq0->VLU->unl_9bdfd420] 1.00
unl_9bdfd420   [p1.is.FRST->write.GT->p2.is.FRST] 1.00
unl_959b4e2a   [p1longer-seq0->FRST->p1longer-seq0] 1.00
unl_2b2e1e38   [p2longer-seq0->VLU->unl_90425114] 1.00
unl_90425114   [p2.is.FRST->write.GT->p1.is.FRST] 1.00
unl_02d2c1e6   [p2longer-seq0->FRST->p2longer-seq0] 1.00
unl_9d81e4e1   [compareLength-seq1->FRST->compareLength-seq0] 1.00
unl_4b949774   [compareLength-seq1->VLU->unl_5bfde5d8] 1.00
unl_5bfde5d8   [p2->WRITE.IS->param2] 1.00
unl_f9cdfee5   [compareLength-seq1->NXT->compareLength-seq2] 1.00
unl_df5e6e86   [compareLength-seq2->FRST->compareLength-seq0] 1.00
unl_d2692c0f   [compareLength-seq2->VLU->unl_9068d07c] 1.00
unl_9068d07c   [p1->WRITE.IS->p1.is.spelled] 1.00
unl_338f59fc   [compareLength-seq2->NXT->compareLength-seq3] 1.00
unl_2729e98c   [compareLength-seq3->FRST->compareLength-seq0] 1.00
unl_c6eb2ba6   [compareLength-seq3->VLU->unl_0276ae92] 1.00
unl_0276ae92   [p2->WRITE.IS->p2.is.spelled] 1.00
unl_ddf6c92a   [compareLength-seq3->NXT->compareLength-seq4] 1.00
unl_c3ccceec   [compareLength-seq4->FRST->compareLength-seq0] 1.00
unl_4ec027a5   [compareLength-seq4->VLU->context] 1.00
unl_39483e68   [continue-seq1->FRST->continue-seq0] 1.00
unl_a78cad6b   [continue-seq1->VLU->unl_44ef18ce] 1.00
unl_44ef18ce   [p2->WRITE.IS->p2.is.NXT] 1.00
unl_8814919d   [continue-seq1->NXT->continue-seq2] 1.00
unl_6e1fb6c0   [continue-seq2->FRST->continue-seq0] 1.00
unl_6982d920   [continue-seq2->VLU->context] 1.00
