unl_5c44e89e   [c1->is-a->context] 1.00
unl_e525e86b   [c2->is-a->context] 1.00
unl_9e3812a0   [c3->is-a->context] 1.00
unl_956cfcb0   [c4->is-a->context] 1.00
unl_bc4bef8b   [c1->has->R0] 1.00
R0             [p1.is->EXIST.NXT->??] 1.00
unl_0a5850cc   [c1->has->R1] 1.00
R1             [p2.is->EXIST.NXT->??] 1.00
unl_1b6cefc7   [c1->response->continue] 1.00
unl_d4c53f8f   [c2->has->R0] 1.00
unl_fdbf73cf   [c2->has->R2] 1.00
R2             [p2.is->NOT.EXIST.NXT->??] 1.00
unl_1c47d00e   [c2->response->p1Longer] 1.00
unl_88b2d3b0   [c3->has->R3] 1.00
R3             [p1.is->NOT.EXIST.NXT->??] 1.00
unl_c7ecd08e   [c3->has->R1] 1.00
unl_086d8bf3   [c3->response->p2Longer] 1.00
unl_88d7e22d   [c4->has->R2] 1.00
unl_c6ff70a9   [c4->has->R3] 1.00
unl_39c5a565   [c4->response->equal] 1.00
