unl_28c80264   [Unknown->is-a->Thought] 1.00
unl_80278f2a   [dog->is-a->Unknown] 1.00
unl_fc70b82c   [leg->is-a->Unknown] 1.00
unl_dc5698a9   [4->is-a->Unknown] 1.00
unl_ee319445   [play->is-a->Unknown] 1.00
unl_9c02e437   [outside->is-a->Unknown] 1.00
unl_8ec0d0f4   [weather->is-a->Unknown] 1.00
unl_8ef7992f   [sunny->is-a->Unknown] 1.00
unl_dd325ea7   [Fido->is-a->dog] 0.90
unl_ceb574f2   [dog->has.4->leg] 0.90
R1             [weather->is->sunny] 1.00
unl_9277e21e   [is-a->hasProperty->isTransitive] 1.00
unl_7223f6e8   [is-a->hasProperty->inheritable] 1.00
R0             [Fido->play->outside] 1.00
unl_168f9514   [R0->IF->R1] 0.90
unl_0c244e0c   [has.4->is->4] 1.00
